Restaurant Name,City,Address,Locality,Locality Verbose,Cuisines,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Rating color,Rating text
Raju Dhaba,Faridabad,"Main 40 Feet Road, Molarband Extension, Badarpur Border, Faridabad",Badarpur Border,"Badarpur Border, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Rakheja Bakery,Faridabad,"Main 40 Feet Road, Molarband Extension, Badarpur Border, Faridabad",Badarpur Border,"Badarpur Border, Faridabad",Bakery,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Snax Points,Faridabad,"A-68/5, Near Mehra Petrol Pump, Main Tajpur Road, Badarpur Border, Faridabad",Badarpur Border,"Badarpur Border, Faridabad","Chinese, North Indian, Fast Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Aggarwal Sweet Corner,Faridabad,"Badarpur Border Chowk Post, Badarpur Border, Faridabad",Badarpur Border,"Badarpur Border, Faridabad",Mithai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Kashyap Vaishno Dhaba,Faridabad,"Near Seble Cinema, Dharamveer Market, Badarpur Border, Faridabad",Badarpur Border,"Badarpur Border, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Total Food Court,Faridabad,"B-222, Shishram Complex, Main Market, Badarpur Border, Faridabad",Badarpur Border,"Badarpur Border, Faridabad","North Indian, Mughlai, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
The Chaiwalas,Faridabad,"Sector 21 A, Asian Hospital, Badhkal Chowk, Badkal Lake, Faridabad",Badkal Lake,"Badkal Lake, Faridabad",Cafe,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Cafe And More,Faridabad,"UGF 22, Charmwood Plaza, Eros Garden, Charmwood Village, Faridabad",Charmwood Village,"Charmwood Village, Faridabad","Fast Food, North Indian",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Green Chick Chop,Faridabad,"UG 58, Charmwood Plaza, Eros Garden Colony, Suraj Kund Road, Charmwood Village, Faridabad",Charmwood Village,"Charmwood Village, Faridabad","Raw Meats, North Indian, Fast Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Kolkata Hot Kathi Rolls,Faridabad,"Deepak Complex, Near Eros Garden, Charmwood Village, Faridabad",Charmwood Village,"Charmwood Village, Faridabad","Fast Food, Chinese",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Aapki Rasoi,Faridabad,"HR-227, 60 Feet Road, Pul Pehlad Pur, Charmwood Village, Faridabad",Charmwood Village,"Charmwood Village, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Fusion Food Corner,Faridabad,"158/7, Opposite DDA Flat, Pul Pehlad Pur, Charmwood Village, Faridabad",Charmwood Village,"Charmwood Village, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Punjabi Rasoi,Faridabad,"1, Deepak Complex, Eros Charmwood Village, Faridabad",Charmwood Village,"Charmwood Village, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Kebab Xpress,Faridabad,"Shop 23-24, 2nd Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad","North Indian, Mughlai",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
McDonald's,Faridabad,"12/7, 2nd Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad","Fast Food, Burger",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Suruchi,Faridabad,"29, 2nd Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad","North Indian, South Indian, Gujarati, Rajasthani",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Berco's,Faridabad,"Shop R-2, 3rd Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad","Chinese, Thai",Indian Rupees(Rs.),No,Yes,No,No,Yellow,Good
Dunkin' Donuts,Faridabad,"3, 2nd Floor, Crown Interiorz Mall, Near Toll Bridge, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad","Burger, Desserts, Fast Food",Indian Rupees(Rs.),No,Yes,No,No,Yellow,Good
The Chocolate Room,Faridabad,"10, 2nd Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad","Cafe, Desserts",Indian Rupees(Rs.),No,Yes,No,No,Yellow,Good
Baskin Robbin,Faridabad,"Ground Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad",Desserts,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Popcorn Fusion,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad",Fast Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Subway,Faridabad,"SF 25, 2nd Floor, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad","American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
KFC,Faridabad,"Shops 21-22, 2nd Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad","American, Fast Food, Burger",Indian Rupees(Rs.),No,Yes,No,No,Red,Poor
Barbeque Nation,Faridabad,"2nd Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,Green,Very Good
Yo! China,Faridabad,"S-2, 2nd Floor, Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad","Crown Interiorz Mall, Sector 35, Faridabad, Faridabad",Chinese,Indian Rupees(Rs.),No,Yes,No,No,Green,Very Good
Giani's,Faridabad,"Food Court, Crown Plaza Mall, Sector 15-A,  Near, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad, Faridabad","Ice Cream, Desserts",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Momo-Cha,Faridabad,"Crown Plaza Mall, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad, Faridabad",Fast Food,Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Shree Rathnam,Faridabad,"LG-28, Crown Plaza Mall, Sector 15-A, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad, Faridabad","South Indian, North Indian, Chinese",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Mirage Restro Bar,Faridabad,"2nd Floor, Crown Plaza Mall, Sector 15-A, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad, Faridabad","North Indian, Mughlai",Indian Rupees(Rs.),Yes,No,No,No,Red,Poor
Jai Jagannath Hotel,Faridabad,"E 51, Shiv Durga Vihar, Dayal Bagh, Faridabad",Dayal Bagh,"Dayal Bagh, Faridabad",South Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Gelato Vinto,Faridabad,"40 GF, Eldeco Station 1 Mall, Sector 12, Faridabad","Eldeco Station 1 Mall, Sector 12, Faridabad","Eldeco Station 1 Mall, Sector 12, Faridabad, Faridabad","Desserts, Ice Cream",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Maggi Point,Faridabad,"F-46 A, 1st Floor, Eldeco Mall, Sector 12, Faridabad","Eldeco Station 1 Mall, Sector 12, Faridabad","Eldeco Station 1 Mall, Sector 12, Faridabad, Faridabad",Fast Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Angaar,Faridabad,"Hotel Saffron Kiran, 12/6, Adjacent to Badarpur Toll, NH-2, Sector 35, Faridabad","Hotel Saffron Kiran, Faridabad","Hotel Saffron Kiran, Faridabad, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),Yes,No,No,No,White,Not rated
TcozY,Faridabad,"Hotel Saffron Kiran, 12/6, Adjacent to Badarpur Toll, NH-2, Sector 35, Faridabad","Hotel Saffron Kiran, Faridabad","Hotel Saffron Kiran, Faridabad, Faridabad",Cafe,Indian Rupees(Rs.),No,No,No,No,White,Not rated
The Retriever,Faridabad,"Hotel Saffron Kiran, 12/6, Adjacent to Badarpur Toll, NH-2, Sector 35, Faridabad","Hotel Saffron Kiran, Faridabad","Hotel Saffron Kiran, Faridabad, Faridabad","North Indian, Mughlai, Chinese",Indian Rupees(Rs.),Yes,No,No,No,White,Not rated
Bangali Sweets & Restaurant,Faridabad,"6, Plot 17, New DLF, Indraprastha Colony, Faridabad",Indraprastha Colony,"Indraprastha Colony, Faridabad",Mithai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Silver,Faridabad,"K Hotel, Plot 2, Behind Pristine Mall, Sector 31, Faridabad",K Hotel,"K Hotel, Faridabad","North Indian, Chinese, Continental",Indian Rupees(Rs.),Yes,No,No,No,White,Not rated
Chill 'N Grill,Faridabad,"3C-188, Opposite Bharat Optical, NIT, Faridabad",NIT,"NIT, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Punjabi Restaurant,Faridabad,"3F/49, Sainik Colony Road, NIT, Faridabad",NIT,"NIT, Faridabad","North Indian, Mughlai",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Standard Chicken Point,Faridabad,"3F/90, Sainik Colony Road, NIT Faridabad",NIT,"NIT, Faridabad",Mughlai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
The Grillz & Gravy,Faridabad,"3G/1, NIT, Faridabad",NIT,"NIT, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Cakes 'n Bakes - Park Plaza,Faridabad,"Park Plaza, Sector 21 C, Sector 21, Faridabad","Park Plaza, Sector 21, Faridabad","Park Plaza, Sector 21, Faridabad, Faridabad",Bakery,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Cafe Bite,Faridabad,"UGF 35, Parsvanath City Mall, Sector 12, Faridabad","Parsavnath City Mall, Sector 12, Faridabad","Parsavnath City Mall, Sector 12, Faridabad, Faridabad",Cafe,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Cafe Light,Faridabad,"Shop 38, Upper Ground Floor, Parsvnath City Mall, Sector 12, Faridabad","Parsavnath City Mall, Sector 12, Faridabad","Parsavnath City Mall, Sector 12, Faridabad, Faridabad","Cafe, Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Little Cafe,Faridabad,"Shop 32, Upper Ground Floor, Parsvnath City Mall, Sector 12, Faridabad","Parsavnath City Mall, Sector 12, Faridabad","Parsavnath City Mall, Sector 12, Faridabad, Faridabad","Fast Food, Beverages",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Momo-Cha,Faridabad,"J-121, Near Lean Wolf Gym, Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Oregano India,Faridabad,"Shop 2661, Sector 7-10 Market, YMCA Road, Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad","Fast Food, Chinese, Italian",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Sagar Bakery,Faridabad,"938, 7-10 Chowk, YMCA Road, Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad",Bakery,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Smugglers,Faridabad,"Near Big Bus, Sector 9-10 Road, Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad",North Indian,Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Welcome,Faridabad,"J140, Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),Yes,No,No,No,Orange,Average
Giani's,Faridabad,"Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad","Ice Cream, Desserts",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Invitation,Faridabad,"Invitation Inn Banquet & Rooms, DLF Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
New Dilight,Faridabad,"H - 147, Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad","North Indian, Mughlai, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chimney,Faridabad,"SCF 9, Near Bank of India, Sector 11, Faridabad",Sector 11,"Sector 11, Faridabad","North Indian, Mughlai, Chinese",Indian Rupees(Rs.),Yes,Yes,No,No,Orange,Average
Chopstick,Faridabad,"Booth 15, Sector 11, Faridabad",Sector 11,"Sector 11, Faridabad",Chinese,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Hot & Tasty Chinese Food,Faridabad,"18, DLF Market, Sector 11, Faridabad",Sector 11,"Sector 11, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Sanjha Chulha,Faridabad,"Plot 1-A, Sector 11-D, Sector 11, Faridabad",Sector 11,"Sector 11, Faridabad","North Indian, Mughlai",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Frontier,Faridabad,"Ground Floor, Parsvnath CIty Mall, Sector 12, Faridabad",Sector 12,"Sector 12, Faridabad",Bakery,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Oxy Lounge,Faridabad,"Town Park, Opposite District Court, Sector 12, Faridabad",Sector 12,"Sector 12, Faridabad","North Indian, Chinese, Italian",Indian Rupees(Rs.),Yes,Yes,No,No,Orange,Average
City Dhaba,Faridabad,"11-12 Dividing Road, Sector 12, Faridabad",Sector 12,"Sector 12, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Garam Masala,Faridabad,"Plot 6, Bata Chowk, BIryaniwali Gali, Sector 12, Faridabad",Sector 12,"Sector 12, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Mittal Fast Food,Faridabad,"10, Town Park, Sector 12, Faridabad",Sector 12,"Sector 12, Faridabad",Fast Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Al Bake,Faridabad,"SCF 58, Ground Floor, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Anupam Sweet,Faridabad,"SCF 74, Sector 15 Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","North Indian, South Indian, Chinese, Fast Food, Mithai",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Cafe Coffee Day,Faridabad,"SCF 42, Shopping Centre, Main Huda Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",Cafe,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Chicago Pizza,Faridabad,"Booth Number 135, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",Pizza,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Crispy Crust,Faridabad,"Shop 19, HUDA Market, Opposite Mother Dairy, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","North Indian, Chinese, Fast Food",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Frontier,Faridabad,"SCO 46, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",Bakery,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Gulab,Faridabad,"Shop 33, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","North Indian, South Indian, Fast Food, Street Food, Mithai",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Hunger Cure Express,Faridabad,"HUDA Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Fast Food, Beverages",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Maitre Patissier,Faridabad,"697, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",Bakery,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Momo-Cha,Faridabad,"87, Near City Chemist, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Nirula's,Faridabad,"135, Lower Ground Floor, HUDA Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Fast Food, Desserts, Ice Cream, Beverages",Indian Rupees(Rs.),No,No,No,No,Orange,Average
The Grub House,Faridabad,"SCF 55, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Cafe, North Indian, Chinese, Continental",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Twenty Four Seven,Faridabad,"A-45/49, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Fast Food, North Indian",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Cafe Parmesan,Faridabad,"42, 1st Floor, HUDA Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",Italian,Indian Rupees(Rs.),No,No,No,No,Dark Green,Excellent
Briosca,Faridabad,"Shop 45, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Bakery, Fast Food",Indian Rupees(Rs.),No,Yes,No,No,Yellow,Good
Burger Point,Faridabad,"Shop 105, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Burger, Fast Food",Indian Rupees(Rs.),No,Yes,No,No,Yellow,Good
Cafe Grub Up,Faridabad,"SCF 43, 2nd Floor, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Cafe, American, Mexican, Italian, Thai",Indian Rupees(Rs.),Yes,No,No,No,Yellow,Good
Cakes At Bhawanas,Faridabad,"418, 1st Floor, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",Bakery,Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Chaudhary Bhojnalaya,Faridabad,"HUDA Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Chickenette,Faridabad,"11 & 12, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Raw Meats, North Indian, Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Giani,Faridabad,"125, Near Gurudwara, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Ice Cream, Desserts",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Green Chick Chop,Faridabad,"135, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Raw Meats, North Indian, Fast Food",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Hash Stix,Faridabad,"Shop 160, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",Fast Food,Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Juice On Go,Faridabad,"SCF 46-50, 1st Floor, Fitstop Gym, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Juices, Beverages",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Keventers,Faridabad,"Booth 125-P, Ground Floor, Huda Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",Beverages,Indian Rupees(Rs.),No,No,No,No,Yellow,Good
MD's Kebabs & Curries,Faridabad,"Shop 18, Opposite Mother Dairy, Sector 15 Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","North Indian, Mughlai, Chinese",Indian Rupees(Rs.),No,Yes,No,No,Yellow,Good
Perfect Bake,Faridabad,"DSS-48, Huda Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Bakery, Fast Food",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Perfect Bake,Faridabad,"SCF 40, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Bakery, Fast Food",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Sethi's Delicacy,Faridabad,"9 & 10, Main Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Fast Food, Bakery",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Subway,Faridabad,"SCF 78, HUDA Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
CafÌ© Bogchi,Faridabad,"SCF 39, First Floor, Above Axis Bank, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad","Cafe, Italian, Mexican, Continental",Indian Rupees(Rs.),No,Yes,No,No,Green,Very Good
Ashoka Restaurant,Faridabad,"Main Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Baskin Robbins,Faridabad,"Shop 60, Near Sagar Cinema, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",Ice Cream,Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
China Hot Pot,Faridabad,"Shop 147, HUDA Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad","Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Handi Chhadeyan Di,Faridabad,"Shop 138, HUDA Market, Near HDFC Bank, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Hungrill,Faridabad,"Booth 110, HUDA Market, Near ICICI Bank, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad","North Indian, Chinese, Continental",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Kant Khana Khazana,Faridabad,"135, Huda Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Open Yard,Faridabad,"SCO 22-23, Main Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad","North Indian, Chinese, Continental",Indian Rupees(Rs.),Yes,No,No,No,Orange,Average
Recipe Badshah,Faridabad,"Shop 98, Sabzi Mandi, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,Orange,Average
The Chai Cafe,Faridabad,"Shop 123, HUDA Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad","Cafe, Chinese",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Apna Restaurant,Faridabad,"Booth 146, HUDA Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chaudhary Chaap & Chinese,Faridabad,"Shop 137, Huda Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad","Chinese, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chings Chinese,Faridabad,"Near Gold Gym, Behind Petro Pump Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Food On Wheels,Faridabad,"Near Gold Gym, Behind Petrol Pump, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Gulshan Hotel,Faridabad,"Booth 2, Main Huda Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Maa Kali Foods,Faridabad,"SCO 35, HUDA Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
The Street Kitchen,Faridabad,"Shop 139, Main HUDA Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
United Kitchen,Faridabad,"2nd Floor, SCO 95, HUDA Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",Fast Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Eat N Treat,Faridabad,"145, Main Market, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad","Chinese, North Indian",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Hotel Ekant,Faridabad,"12 - 14, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad","North Indian, Mughlai, Chinese",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Momo-Cha,Faridabad,"31, Near HDFC Bank ATM, Sector 17 Market, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Paradise Inn,Faridabad,"124, Near OBC Bank, Sector 17 Market, Faridabad, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad","North Indian, Mughlai, Chinese",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Red Chilli,Faridabad,"Shop 140, Back Side, Main Market, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad",Chinese,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Shiv Restaurant,Faridabad,"122 & 123, HUDA Market, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Sohan Sweets & Namkeen,Faridabad,"115 & 116, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad",Mithai,Indian Rupees(Rs.),No,No,No,No,Orange,Average
The Binge Box Cafe,Faridabad,"1st  Floor, 110, HUDA Market, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad",Cafe,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Tmos Moving Feast,Faridabad,"156, Main Market, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad","Chinese, North Indian",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Tmos Cafe Corner,Faridabad,"Shop 164, Huda Market, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad",Cafe,Indian Rupees(Rs.),Yes,Yes,No,No,White,Not rated
Parkash Dhaba,Faridabad,"Shop 32, HUDA Market, Sector 19, Faridabad",Sector 19,"Sector 19, Faridabad","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Sanjha Chulha,Faridabad,"Booth 16, Part 2 Market, Sector 19, Faridabad",Sector 19,"Sector 19, Faridabad","North Indian, Mughlai",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Hareram Bikanerzaika,Faridabad,"77 & 78, HUDA Market, Opposite Community Centre, Sector 21 C, Near Sector 21, Faridabad",Sector 21,"Sector 21, Faridabad","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Kulcha Paaji,Faridabad,"Opposite 21-C Market, Sector 21, Faridabad",Sector 21,"Sector 21, Faridabad",Street Food,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Shree Bikaner Misthan Bhandar,Faridabad,"DSS 44, Sector 21, Faridabad",Sector 21,"Sector 21, Faridabad","Street Food, South Indian, Mithai",Indian Rupees(Rs.),No,No,No,No,Orange,Average
"The Hub - Gourmet, Bakers & More",Faridabad,"Asian Institute of Medical Sciences, Badkal Flyover, Sector 21 A, Sector 21, Faridabad",Sector 21,"Sector 21, Faridabad","Bakery, Fast Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Anand Dhaba,Faridabad,"DSS-38, Sector 21C Market, Sector 21, Faridabad",Sector 21,"Sector 21, Faridabad",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
